puzzle_num,puzzle_folder,difficulty,num_2x1_blockers,num_3x1_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,prompt_tokens,completion_tokens,total_tokens,has_reasoning,reasoning_length_chars,content_length_chars,timestamp
1,puzzle1,easy,3,1,6,7,False,True,357.86,1160,7345,8505,True,18706,312,2025-08-28T00:00:45.822842
2,puzzle2,easy,4,0,2,2,True,True,130.73,1157,2576,3733,True,8432,104,2025-08-28T00:02:57.557337
3,puzzle3,easy,4,0,1,1,True,True,200.35,1158,4164,5322,True,13479,63,2025-08-28T00:06:18.905633
4,puzzle4,easy,2,2,11,16,False,True,896.85,1165,18277,19442,True,48253,741,2025-08-28T00:21:16.753304
5,puzzle5,easy,3,1,6,6,True,True,241.72,1160,4805,5965,True,13078,269,2025-08-28T00:25:19.473183
6,puzzle6,easy,2,2,9,10,False,True,1298.34,1166,26483,27649,True,66454,869,2025-08-28T00:46:58.809770
7,puzzle7,easy,2,2,12,13,False,True,1308.6,1165,26676,27841,True,70753,614,2025-08-28T01:08:48.413508
8,puzzle8,easy,4,0,5,0,False,False,1146.14,1156,22659,23815,True,60778,557,2025-08-28T01:27:55.549588
9,puzzle9,easy,4,0,3,3,True,True,161.61,1157,3193,4350,True,9031,146,2025-08-28T01:30:38.160808
10,puzzle10,easy,4,0,5,6,False,True,257.57,1157,5163,6320,True,13969,270,2025-08-28T01:34:56.729672
11,puzzle11,easy,4,0,3,3,True,True,98.53,1157,1913,3070,True,4520,145,2025-08-28T01:36:36.263258
12,puzzle12,easy,3,1,12,0,False,False,2166.35,1159,17429,18588,True,48910,470,2025-08-28T02:12:43.616282
13,puzzle13,easy,4,0,4,4,True,True,163.07,1157,3372,4529,True,9051,187,2025-08-28T02:15:27.683425
14,puzzle14,easy,4,0,2,2,True,True,192.36,1157,3932,5089,True,12588,105,2025-08-28T02:18:41.047467
15,puzzle15,easy,4,0,6,7,False,True,380.13,1158,7593,8751,True,20012,312,2025-08-28T02:25:02.174416
16,puzzle16,easy,4,0,5,5,True,True,172.41,1159,3543,4702,True,8969,228,2025-08-28T02:27:55.584145
17,puzzle17,easy,3,1,2,2,True,True,95.92,1160,1881,3041,True,5533,104,2025-08-28T02:29:32.501288
18,puzzle18,easy,4,0,3,3,True,True,150.55,1160,2932,4092,True,8654,145,2025-08-28T02:32:04.047452
19,puzzle19,easy,3,1,5,5,True,True,237.22,1159,5004,6163,True,15219,228,2025-08-28T02:36:02.263252
20,puzzle20,easy,3,1,4,5,False,True,323.55,1160,6757,7917,True,17073,241,2025-08-28T02:41:26.810635
21,puzzle21,easy,2,2,6,7,False,True,339.91,1166,7024,8190,True,18554,312,2025-08-28T02:47:07.717152
22,puzzle22,easy,2,2,9,0,False,False,1531.32,1165,32000,33165,True,77098,0,2025-08-28T03:12:40.041599
23,puzzle23,easy,4,0,8,8,True,True,295.17,1159,6217,7376,True,17013,353,2025-08-28T03:17:36.214203
24,puzzle24,easy,2,2,7,8,False,True,521.87,1167,11288,12455,True,29229,353,2025-08-28T03:26:19.085941
25,puzzle25,easy,2,2,11,6,False,True,717.63,1165,15109,16274,True,42655,638,2025-08-28T03:38:17.716349
26,puzzle26,easy,3,1,2,2,True,True,164.59,1160,3489,4649,True,10240,105,2025-08-28T03:41:03.306310
27,puzzle27,easy,3,1,4,6,False,True,555.22,1158,11690,12848,True,34296,284,2025-08-28T03:50:19.523707
28,puzzle28,easy,2,2,15,0,False,False,1520.7,1165,31999,33164,True,79113,0,2025-08-28T04:15:41.227387
29,puzzle29,easy,3,1,5,5,True,True,236.13,1161,4861,6022,True,12021,242,2025-08-28T04:19:38.359661
30,puzzle30,easy,2,2,3,3,True,True,159.46,1164,3240,4404,True,8599,158,2025-08-28T04:22:18.818476
31,puzzle31,easy,2,2,4,4,True,True,787.81,1165,16400,17565,True,44312,188,2025-08-28T04:35:27.627139
32,puzzle32,easy,4,0,4,6,False,True,218.45,1157,4574,5731,True,11478,270,2025-08-28T04:39:07.073283
33,puzzle33,easy,2,2,7,17,False,True,697.01,1167,14567,15734,True,37825,762,2025-08-28T04:50:45.079320
34,puzzle34,easy,4,0,2,2,True,True,117.44,1158,2359,3517,True,7273,104,2025-08-28T04:52:43.517472
35,puzzle35,easy,4,0,6,6,True,True,291.87,1159,5962,7121,True,15071,269,2025-08-28T04:57:36.383436
36,puzzle36,easy,2,2,5,5,True,True,253.98,1165,5125,6290,True,14826,229,2025-08-28T05:01:51.363257
37,puzzle37,easy,4,0,2,2,True,True,120.04,1159,2251,3410,True,6539,104,2025-08-28T05:03:52.399481
38,puzzle38,easy,4,0,5,5,True,True,246.5,1159,5208,6367,True,13308,229,2025-08-28T05:07:59.902508
39,puzzle39,easy,3,1,2,2,True,True,175.54,1159,3577,4736,True,10778,104,2025-08-28T05:10:56.443472
40,puzzle40,easy,4,0,2,2,True,True,87.47,1158,1736,2894,True,4949,104,2025-08-28T05:12:24.915970
41,puzzle41,easy,4,0,1,1,True,True,175.13,1159,3357,4516,True,11011,63,2025-08-28T05:15:21.048202
42,puzzle42,easy,2,2,5,3,False,True,640.59,1164,13437,14601,True,36646,735,2025-08-28T05:26:02.642637
43,puzzle43,easy,4,0,5,7,False,True,207.82,1159,4379,5538,True,10830,314,2025-08-28T05:29:31.465932
44,puzzle44,easy,4,0,1,1,True,True,98.94,1158,2019,3177,True,6021,63,2025-08-28T05:31:11.409308
45,puzzle45,easy,4,0,7,7,True,True,316.53,1159,6753,7912,True,18793,311,2025-08-28T05:36:28.942823
46,puzzle46,easy,2,2,10,9,False,True,533.93,1166,11471,12637,True,32006,419,2025-08-28T05:45:23.877127
47,puzzle47,easy,4,0,6,7,False,True,424.06,1159,9174,10333,True,24441,311,2025-08-28T05:52:28.939231
48,puzzle48,easy,4,0,3,3,True,True,167.96,1158,3624,4782,True,10920,145,2025-08-28T05:55:17.895255
49,puzzle49,easy,3,1,3,4,False,True,231.61,1159,4726,5885,True,15026,188,2025-08-28T05:59:10.502704
50,puzzle50,easy,2,2,4,4,True,True,160.88,1167,3440,4607,True,10078,186,2025-08-28T06:01:52.384811
51,puzzle51,medium,5,1,5,8,False,True,307.09,1207,6629,7836,True,16882,368,2025-08-28T06:07:00.476707
52,puzzle52,medium,5,1,4,4,True,True,280.69,1206,5956,7162,True,15524,187,2025-08-28T06:11:42.165031
53,puzzle53,medium,3,3,3,2,False,True,975.17,1220,20724,21944,True,51767,557,2025-08-28T06:27:58.331596
54,puzzle54,medium,5,1,3,3,True,True,160.22,1205,3323,4528,True,9070,146,2025-08-28T06:30:39.549521
55,puzzle55,medium,3,3,3,3,True,True,144.33,1219,3023,4242,True,6873,146,2025-08-28T06:33:04.880140
56,puzzle56,medium,3,3,13,4,False,True,905.0,1218,19116,20334,True,53957,818,2025-08-28T06:48:10.881021
57,puzzle57,medium,4,2,6,7,False,True,291.99,1213,6229,7442,True,17051,324,2025-08-28T06:53:03.870814
58,puzzle58,medium,5,1,9,2,False,True,733.17,1206,15890,17096,True,44439,594,2025-08-28T07:05:18.045746
59,puzzle59,medium,5,1,7,6,False,True,1317.46,1206,25375,26581,True,64403,284,2025-08-28T07:27:16.506652
60,puzzle60,medium,5,1,8,7,False,True,1199.0,1206,29509,30715,True,79260,337,2025-08-28T07:47:16.503075
61,puzzle61,medium,4,2,13,12,False,True,1177.72,1212,27814,29026,True,70756,585,2025-08-28T08:06:55.223571
62,puzzle62,medium,4,2,8,6,False,True,938.2,1214,21238,22452,True,57972,479,2025-08-28T08:22:34.429293
63,puzzle63,medium,4,2,14,16,False,True,901.46,1214,19654,20868,True,48886,718,2025-08-28T08:37:36.888762
64,puzzle64,medium,3,3,17,10,False,True,854.24,1220,19797,21017,True,53995,1239,2025-08-28T08:51:52.129442
65,puzzle65,medium,4,2,4,0,False,False,1734.38,1214,20603,21817,True,55753,665,2025-08-28T09:20:47.508343
66,puzzle66,medium,5,1,11,8,False,True,1175.34,1206,22743,23949,True,64241,379,2025-08-28T09:40:23.852103
67,puzzle67,medium,4,2,8,8,True,True,603.3,1213,11271,12484,True,29962,366,2025-08-28T09:50:28.154984
68,puzzle68,medium,4,2,12,11,False,True,1395.09,1214,27693,28907,True,69423,518,2025-08-28T10:13:44.246843
69,puzzle69,medium,5,1,5,7,False,True,385.04,1206,8510,9716,True,24143,312,2025-08-28T10:20:10.291572
70,puzzle70,medium,4,2,7,8,False,True,413.68,1212,7784,8996,True,20068,380,2025-08-28T10:27:04.971166
71,puzzle71,medium,3,3,2,4,False,True,225.64,1219,4020,5239,True,10242,213,2025-08-28T10:30:51.615610
72,puzzle72,medium,3,3,11,10,False,True,1409.26,1220,27061,28281,True,70255,501,2025-08-28T10:54:21.876438
73,puzzle73,medium,3,3,13,11,False,True,1389.16,1218,26983,28201,True,68620,516,2025-08-28T11:17:32.041849
74,puzzle74,medium,5,1,7,13,False,True,697.09,1207,13264,14471,True,32210,568,2025-08-28T11:29:10.131269
75,puzzle75,medium,4,2,10,10,True,True,1710.61,1213,17228,18441,True,47501,1064,2025-08-28T11:57:41.744032
76,puzzle76,medium,4,2,7,4,False,True,792.18,1211,17521,18732,True,47278,679,2025-08-28T12:10:54.920462
77,puzzle77,medium,3,3,17,9,False,True,994.8,1218,20593,21811,True,56165,420,2025-08-28T12:27:30.723379
78,puzzle78,medium,5,1,8,0,False,False,1375.38,1206,16215,17421,True,43882,0,2025-08-28T12:50:27.104873
79,puzzle79,medium,5,1,4,4,True,True,184.44,1206,3363,4569,True,8677,188,2025-08-28T12:53:32.542095
80,puzzle80,medium,4,2,1,1,True,True,93.83,1212,1929,3141,True,5650,63,2025-08-28T12:55:07.373355
81,puzzle81,medium,5,1,4,4,True,True,239.82,1207,5009,6216,True,14544,188,2025-08-28T12:59:08.195869
82,puzzle82,medium,3,3,5,5,True,True,298.21,1217,6278,7495,True,16573,254,2025-08-28T13:04:07.411117
83,puzzle83,medium,5,1,6,6,True,True,407.79,1206,8448,9654,True,25492,270,2025-08-28T13:10:56.199401
84,puzzle84,medium,5,1,7,7,True,True,717.75,1206,14542,15748,True,39477,326,2025-08-28T13:22:54.947503
85,puzzle85,medium,5,1,2,2,True,True,181.81,1207,3462,4669,True,11154,104,2025-08-28T13:25:57.762151
86,puzzle86,medium,5,1,9,3,False,True,1230.47,1206,23833,25039,True,64646,620,2025-08-28T13:46:29.229767
87,puzzle87,medium,5,1,7,7,True,True,285.96,1207,5218,6425,True,14166,311,2025-08-28T13:51:16.185310
88,puzzle88,medium,3,3,6,10,False,True,473.28,1217,8674,9891,True,23218,476,2025-08-28T13:59:10.469286
89,puzzle89,medium,4,2,3,6,False,True,572.23,1211,10385,11596,True,30713,296,2025-08-28T14:08:43.702885
90,puzzle90,medium,3,3,10,10,True,True,2285.22,1219,24065,25284,True,64050,701,2025-08-28T14:46:49.922243
91,puzzle91,medium,4,2,10,8,False,True,1390.65,1212,24799,26011,True,66237,377,2025-08-28T15:10:01.571505
92,puzzle92,medium,5,1,7,7,True,True,372.06,1206,6562,7768,True,17154,312,2025-08-28T15:16:14.632433
93,puzzle93,medium,4,2,18,10,False,True,1070.74,1212,19404,20616,True,52403,716,2025-08-28T15:34:06.369366
94,puzzle94,medium,3,3,7,4,False,True,1289.09,1218,23425,24643,True,65725,188,2025-08-28T15:55:36.464149
95,puzzle95,medium,4,2,10,0,False,False,1761.95,1214,32000,33214,True,84077,0,2025-08-28T16:24:59.410127
96,puzzle96,medium,5,1,7,11,False,True,577.41,1206,10529,11735,True,27201,493,2025-08-28T16:34:37.821772
97,puzzle97,medium,3,3,20,10,False,True,1252.15,1219,22842,24061,True,57722,817,2025-08-28T16:55:30.976573
98,puzzle98,medium,3,3,14,6,False,True,899.8,1219,16034,17253,True,43206,683,2025-08-28T17:10:31.779156
99,puzzle99,medium,3,3,13,5,False,True,1176.49,1219,21860,23079,True,57532,1064,2025-08-28T17:30:09.274902
100,puzzle100,medium,4,2,12,8,False,True,789.92,1213,14566,15779,True,38855,1118,2025-08-28T17:43:20.193974
101,puzzle101,hard,3,4,18,5,False,True,932.84,1217,17209,18426,True,48095,921,2025-08-28T17:58:54.033783
102,puzzle102,hard,4,3,6,3,False,True,1147.7,1242,21554,22796,True,61318,695,2025-08-28T18:18:02.733004
103,puzzle103,hard,3,4,10,5,False,True,765.56,1189,14226,15415,True,40102,711,2025-08-28T18:30:49.297957
104,puzzle104,hard,5,3,2,2,True,True,175.32,1237,3158,4395,True,9189,104,2025-08-28T18:33:45.623091
105,puzzle105,hard,5,3,13,8,False,True,1147.97,1236,21630,22866,True,56650,850,2025-08-28T18:52:54.597371
106,puzzle106,hard,4,3,1,1,True,True,124.79,1214,2273,3487,True,7192,63,2025-08-28T18:55:00.382976
107,puzzle107,hard,5,3,16,0,False,False,901.38,1235,16985,18220,True,46450,793,2025-08-28T19:10:02.759878
108,puzzle108,hard,5,3,1,1,True,True,127.7,1236,2317,3553,True,6766,63,2025-08-28T19:12:11.459601
109,puzzle109,hard,5,3,9,11,False,True,667.05,1266,12755,14021,True,33122,482,2025-08-28T19:23:19.511519
110,puzzle110,hard,5,3,16,7,False,True,1281.02,1235,24177,25412,True,67256,568,2025-08-28T19:44:41.533964
111,puzzle111,hard,5,3,23,4,False,True,1148.51,1236,23208,24444,True,60404,188,2025-08-28T20:03:51.044404
112,puzzle112,hard,4,3,10,0,False,False,1635.8,1242,32000,33242,True,81893,0,2025-08-28T20:31:07.848864
113,puzzle113,hard,3,4,9,5,False,True,1480.46,1218,28734,29952,True,76386,657,2025-08-28T20:55:49.308586
114,puzzle114,hard,4,3,6,6,True,True,378.92,1242,7449,8691,True,18910,321,2025-08-28T21:02:09.231694
115,puzzle115,hard,3,4,7,7,True,True,591.54,1219,11628,12847,True,30036,313,2025-08-28T21:12:01.769389
116,puzzle116,hard,4,3,8,0,False,False,1140.19,1242,22272,23514,True,62767,443,2025-08-28T21:31:02.961799
117,puzzle117,hard,4,3,16,0,False,False,1655.11,1242,31998,33240,True,83132,0,2025-08-28T21:58:39.070427
118,puzzle118,hard,5,3,6,6,True,True,254.85,1206,4924,6130,True,13036,272,2025-08-28T22:02:54.918249
119,puzzle119,hard,4,3,41,8,False,True,2342.15,1242,26758,28000,True,69225,391,2025-08-28T22:41:58.069312
120,puzzle120,hard,5,3,5,5,True,True,267.93,1206,5291,6497,True,13747,229,2025-08-28T22:46:26.999687
121,puzzle121,hard,3,4,19,7,False,True,1261.16,1219,25073,26292,True,63735,776,2025-08-28T23:07:29.164952
122,puzzle122,hard,5,3,20,7,False,True,1134.73,1265,18834,20099,True,52150,947,2025-08-28T23:26:24.891297
123,puzzle123,hard,4,3,6,6,True,True,748.42,1241,14761,16002,True,41013,1026,2025-08-28T23:38:54.313021
124,puzzle124,hard,5,3,12,0,False,False,1624.27,1236,31999,33235,True,81413,0,2025-08-29T00:05:59.585479
125,puzzle125,hard,5,3,22,0,False,False,677.0,1237,14224,15461,True,39461,664,2025-08-29T00:17:17.587011
126,puzzle126,hard,3,4,11,0,False,False,1059.42,1248,21493,22741,True,52795,520,2025-08-29T00:34:58.003236
127,puzzle127,hard,3,4,4,5,False,True,860.06,1188,17006,18194,True,46798,758,2025-08-29T00:49:19.067356
128,puzzle128,hard,3,4,65,7,False,True,1001.89,1249,23902,25151,True,64079,350,2025-08-29T01:06:01.960598
129,puzzle129,hard,5,3,10,0,False,False,1578.58,1234,31999,33233,True,80015,0,2025-08-29T01:32:21.543324
130,puzzle130,hard,4,3,16,3,False,True,697.49,1242,13993,15235,True,32811,524,2025-08-29T01:44:00.037760
131,puzzle131,hard,4,3,29,7,False,True,1007.31,1243,20152,21395,True,53681,957,2025-08-29T02:00:48.345900
132,puzzle132,hard,3,4,5,5,True,True,389.1,1248,7790,9038,True,22404,267,2025-08-29T02:07:18.451140
133,puzzle133,hard,3,4,12,5,False,True,1213.32,1248,24153,25401,True,66673,950,2025-08-29T02:27:32.773996
134,puzzle134,hard,4,3,10,7,False,True,1309.48,1241,26605,27846,True,69181,560,2025-08-29T02:49:23.251746
135,puzzle135,hard,3,4,10,11,False,True,1363.16,1218,28123,29341,True,73285,989,2025-08-29T03:12:07.413925
136,puzzle136,hard,3,4,10,5,False,True,757.8,1219,15460,16679,True,43082,1095,2025-08-29T03:24:46.216206
137,puzzle137,hard,5,3,13,5,False,True,1466.5,1236,29905,31141,True,81884,254,2025-08-29T03:49:13.716276
138,puzzle138,hard,4,3,12,2,False,True,1119.28,1242,22771,24013,True,61192,428,2025-08-29T04:07:53.996258
139,puzzle139,hard,4,3,8,9,False,True,436.91,1241,8922,10163,True,22685,408,2025-08-29T04:15:11.903558
140,puzzle140,hard,5,3,11,14,False,True,1393.31,1237,28115,29352,True,74989,1515,2025-08-29T04:38:26.215051
141,puzzle141,hard,4,3,40,0,False,False,798.98,1242,16210,17452,True,47356,604,2025-08-29T04:51:46.201015
142,puzzle142,hard,5,3,6,6,True,True,307.39,1236,6253,7489,True,18370,272,2025-08-29T04:56:54.589591
143,puzzle143,hard,3,4,9,6,False,True,1146.61,1218,23862,25080,True,63918,284,2025-08-29T05:16:02.201526
144,puzzle144,hard,4,3,22,0,False,False,1509.31,1243,31998,33241,True,83287,0,2025-08-29T05:41:12.511399
145,puzzle145,hard,4,3,22,7,False,True,1141.94,1243,24485,25728,True,67383,792,2025-08-29T06:00:15.448189
146,puzzle146,hard,3,4,17,11,False,True,758.27,1220,16171,17391,True,43842,517,2025-08-29T06:12:54.721804
147,puzzle147,hard,5,3,9,9,True,True,832.47,1205,17761,18966,True,55659,395,2025-08-29T06:26:48.192565
148,puzzle148,hard,4,3,9,6,False,True,1011.4,1242,21396,22638,True,61039,296,2025-08-29T06:43:40.595953
149,puzzle149,hard,4,3,6,0,False,False,1042.78,1242,14104,15346,True,38852,931,2025-08-29T07:01:04.374162
150,puzzle150,hard,5,3,15,6,False,True,770.23,1236,18686,19922,True,52168,752,2025-08-29T07:13:55.623393
