puzzle_num,puzzle_folder,difficulty,num_1x1_blockers,num_2x1_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,timestamp
1,puzzle1,easy,5,0,4,6,False,True,27.09,2025-08-27T14:52:12.183510
2,puzzle2,easy,4,0,5,5,True,True,19.68,2025-08-27T14:52:32.863884
3,puzzle3,easy,4,0,2,3,False,True,22.14,2025-08-27T14:52:56.008348
4,puzzle4,easy,4,0,1,1,True,True,8.52,2025-08-27T14:53:05.529535
5,puzzle5,easy,4,0,6,7,False,True,25.41,2025-08-27T14:53:31.941637
6,puzzle6,easy,4,0,4,5,False,True,19.39,2025-08-27T14:53:52.327578
7,puzzle7,easy,4,0,5,8,False,True,42.73,2025-08-27T14:54:36.053709
8,puzzle8,easy,4,0,4,7,False,True,24.29,2025-08-27T14:55:01.342066
9,puzzle9,easy,4,0,3,3,True,True,14.77,2025-08-27T14:55:17.116748
10,puzzle10,easy,4,0,6,7,False,True,34.64,2025-08-27T14:55:52.752430
11,puzzle11,easy,4,0,3,3,True,True,18.66,2025-08-27T14:56:12.416172
12,puzzle12,easy,3,1,2,2,True,True,17.56,2025-08-27T14:56:30.978298
13,puzzle13,easy,4,0,4,5,False,True,33.79,2025-08-27T14:57:05.767764
14,puzzle14,easy,3,1,5,5,True,True,20.2,2025-08-27T14:57:26.967997
15,puzzle15,easy,3,1,1,1,True,True,15.82,2025-08-27T14:57:43.784096
16,puzzle16,easy,5,0,1,1,True,True,17.21,2025-08-27T14:58:01.991461
17,puzzle17,easy,3,1,1,1,True,True,17.35,2025-08-27T14:58:20.342088
18,puzzle18,easy,5,0,2,2,True,True,11.29,2025-08-27T14:58:32.628563
19,puzzle19,easy,4,0,5,7,False,True,53.55,2025-08-27T14:59:27.175628
20,puzzle20,easy,4,0,2,2,True,True,13.66,2025-08-27T14:59:41.834859
21,puzzle21,easy,5,0,5,6,False,True,25.51,2025-08-27T15:00:08.348065
22,puzzle22,easy,4,0,1,1,True,True,11.7,2025-08-27T15:00:21.048943
23,puzzle23,easy,5,0,5,5,True,True,37.6,2025-08-27T15:00:59.651265
24,puzzle24,easy,4,0,4,4,True,True,21.12,2025-08-27T15:01:21.770081
25,puzzle25,easy,4,0,2,2,True,True,18.46,2025-08-27T15:01:41.229627
26,puzzle26,easy,3,1,3,3,True,True,25.52,2025-08-27T15:02:07.753200
27,puzzle27,easy,5,0,3,3,True,True,14.72,2025-08-27T15:02:23.469372
28,puzzle28,easy,5,0,2,2,True,True,12.97,2025-08-27T15:02:37.444570
29,puzzle29,easy,4,0,4,4,True,True,16.05,2025-08-27T15:02:54.499152
30,puzzle30,easy,5,0,3,3,True,True,14.0,2025-08-27T15:03:09.497165
31,puzzle31,easy,4,0,3,4,False,True,27.47,2025-08-27T15:03:37.964577
32,puzzle32,easy,5,0,2,2,True,True,11.6,2025-08-27T15:03:50.562165
33,puzzle33,easy,5,0,2,2,True,True,15.69,2025-08-27T15:04:07.250487
34,puzzle34,easy,4,0,2,2,True,True,16.61,2025-08-27T15:04:24.864668
35,puzzle35,easy,4,0,4,4,True,True,29.21,2025-08-27T15:04:55.072284
36,puzzle36,easy,5,0,4,4,True,True,23.78,2025-08-27T15:05:19.855325
37,puzzle37,easy,4,0,2,2,True,True,13.33,2025-08-27T15:05:34.190273
38,puzzle38,easy,5,0,4,4,True,True,22.14,2025-08-27T15:05:57.332947
39,puzzle39,easy,5,0,5,5,True,True,24.19,2025-08-27T15:06:22.524695
40,puzzle40,easy,5,0,5,6,False,True,29.82,2025-08-27T15:06:53.349498
41,puzzle41,easy,4,0,2,2,True,True,19.48,2025-08-27T15:07:13.826907
42,puzzle42,easy,4,0,3,3,True,True,24.14,2025-08-27T15:07:38.966407
43,puzzle43,easy,4,0,2,2,True,True,13.18,2025-08-27T15:07:53.150367
44,puzzle44,easy,5,0,1,1,True,True,10.06,2025-08-27T15:08:04.210451
45,puzzle45,easy,4,0,6,6,True,True,35.15,2025-08-27T15:08:40.356744
46,puzzle46,easy,4,0,6,6,True,True,26.96,2025-08-27T15:09:08.312263
47,puzzle47,easy,4,0,5,5,True,True,28.09,2025-08-27T15:09:37.406680
48,puzzle48,easy,3,1,4,4,True,True,26.84,2025-08-27T15:10:05.248330
49,puzzle49,easy,4,0,1,1,True,True,15.79,2025-08-27T15:10:22.042497
50,puzzle50,easy,4,0,1,1,True,True,13.44,2025-08-27T15:10:36.480127
51,puzzle51,medium,4,1,3,3,True,True,22.25,2025-08-27T15:10:59.729550
52,puzzle52,medium,2,2,6,6,True,True,38.52,2025-08-27T15:11:39.252623
53,puzzle53,medium,4,1,3,3,True,True,21.8,2025-08-27T15:12:02.051574
54,puzzle54,medium,4,1,3,3,True,True,14.81,2025-08-27T15:12:17.858028
55,puzzle55,medium,3,2,1,1,True,True,14.76,2025-08-27T15:12:33.618511
56,puzzle56,medium,4,1,3,3,True,True,19.18,2025-08-27T15:12:53.800276
57,puzzle57,medium,2,2,1,1,True,True,10.47,2025-08-27T15:13:05.269473
58,puzzle58,medium,2,2,2,2,True,True,21.33,2025-08-27T15:13:27.596025
59,puzzle59,medium,1,2,2,1,False,True,18.15,2025-08-27T15:13:46.746129
60,puzzle60,medium,2,2,5,6,False,True,44.05,2025-08-27T15:14:31.801081
61,puzzle61,medium,1,2,3,7,False,True,35.55,2025-08-27T15:15:08.357418
62,puzzle62,medium,3,2,5,5,True,True,34.74,2025-08-27T15:15:44.096127
63,puzzle63,medium,2,2,2,2,True,True,22.96,2025-08-27T15:16:08.056874
64,puzzle64,medium,3,2,1,1,True,True,19.07,2025-08-27T15:16:28.130733
65,puzzle65,medium,2,2,6,8,False,True,44.37,2025-08-27T15:17:13.496952
66,puzzle66,medium,2,2,4,4,True,True,14.59,2025-08-27T15:17:29.083425
67,puzzle67,medium,3,2,1,1,True,True,17.2,2025-08-27T15:17:47.283829
68,puzzle68,medium,3,2,2,2,True,True,19.17,2025-08-27T15:18:07.456050
69,puzzle69,medium,3,2,2,2,True,True,59.63,2025-08-27T15:19:08.089839
70,puzzle70,medium,3,2,6,8,False,True,68.93,2025-08-27T15:20:18.018536
71,puzzle71,medium,3,2,1,1,True,True,24.47,2025-08-27T15:20:43.493691
72,puzzle72,medium,1,2,2,2,True,True,18.69,2025-08-27T15:21:03.182014
73,puzzle73,medium,1,2,2,2,True,True,18.35,2025-08-27T15:21:22.536838
74,puzzle74,medium,1,2,7,7,True,True,35.8,2025-08-27T15:21:59.341363
75,puzzle75,medium,3,2,4,4,True,True,18.0,2025-08-27T15:22:18.343977
76,puzzle76,medium,1,2,1,1,True,True,28.9,2025-08-27T15:22:48.247143
77,puzzle77,medium,4,1,4,4,True,True,14.26,2025-08-27T15:23:03.508997
78,puzzle78,medium,4,1,1,1,True,True,14.15,2025-08-27T15:23:18.661166
79,puzzle79,medium,1,2,3,3,True,True,14.77,2025-08-27T15:23:34.433179
80,puzzle80,medium,1,2,5,5,True,True,42.01,2025-08-27T15:24:17.444291
81,puzzle81,medium,1,2,3,5,False,True,36.58,2025-08-27T15:24:55.026948
82,puzzle82,medium,3,2,5,5,True,True,51.53,2025-08-27T15:25:47.562057
83,puzzle83,medium,4,1,2,2,True,True,15.28,2025-08-27T15:26:03.840035
84,puzzle84,medium,3,2,7,7,True,True,46.62,2025-08-27T15:26:51.458369
85,puzzle85,medium,3,2,5,0,False,False,35.25,2025-08-27T15:27:27.708067
86,puzzle86,medium,4,1,4,4,True,True,21.43,2025-08-27T15:27:50.139375
87,puzzle87,medium,4,1,2,2,True,True,14.46,2025-08-27T15:28:05.599633
88,puzzle88,medium,1,2,2,2,True,True,20.71,2025-08-27T15:28:27.307054
89,puzzle89,medium,3,2,1,1,True,True,16.72,2025-08-27T15:28:45.023411
90,puzzle90,medium,4,1,1,1,True,True,10.71,2025-08-27T15:28:56.729334
91,puzzle91,medium,4,1,5,5,True,True,20.47,2025-08-27T15:29:18.203261
92,puzzle92,medium,3,2,6,7,False,True,50.61,2025-08-27T15:30:09.815932
93,puzzle93,medium,4,1,5,5,True,True,43.84,2025-08-27T15:30:54.658446
94,puzzle94,medium,4,1,2,2,True,True,24.1,2025-08-27T15:31:19.758161
95,puzzle95,medium,3,2,8,7,False,True,54.29,2025-08-27T15:32:15.050859
96,puzzle96,medium,4,1,3,3,True,True,15.54,2025-08-27T15:32:31.593105
97,puzzle97,medium,1,2,1,1,True,True,13.09,2025-08-27T15:32:45.685493
98,puzzle98,medium,3,2,3,4,False,True,30.43,2025-08-27T15:33:17.111935
99,puzzle99,medium,3,2,6,8,False,True,47.95,2025-08-27T15:34:06.060657
100,puzzle100,medium,1,2,3,3,True,True,25.21,2025-08-27T15:34:32.274010
101,puzzle101,hard,0,3,6,11,False,True,94.09,2025-08-27T15:36:07.363653
102,puzzle102,hard,2,3,5,5,True,True,141.58,2025-08-27T15:38:29.948420
103,puzzle103,hard,0,4,3,5,False,True,36.82,2025-08-27T15:39:07.772837
104,puzzle104,hard,0,4,7,7,True,True,57.53,2025-08-27T15:40:06.301236
105,puzzle105,hard,2,3,8,8,True,True,63.42,2025-08-27T15:41:10.721062
106,puzzle106,hard,0,3,6,7,False,True,32.07,2025-08-27T15:41:43.796132
107,puzzle107,hard,1,3,4,4,True,True,33.92,2025-08-27T15:42:18.715180
108,puzzle108,hard,2,3,9,11,False,True,67.71,2025-08-27T15:43:27.427560
109,puzzle109,hard,2,3,3,3,True,True,18.46,2025-08-27T15:43:46.884361
110,puzzle110,hard,1,3,3,3,True,True,21.84,2025-08-27T15:44:09.721491
111,puzzle111,hard,2,3,4,6,False,True,37.09,2025-08-27T15:44:47.815364
112,puzzle112,hard,0,3,2,2,True,True,21.01,2025-08-27T15:45:09.830285
113,puzzle113,hard,2,3,7,7,True,True,73.63,2025-08-27T15:46:24.462432
114,puzzle114,hard,1,3,5,5,True,True,64.58,2025-08-27T15:47:30.042461
115,puzzle115,hard,0,4,6,7,False,True,45.36,2025-08-27T15:48:16.406581
116,puzzle116,hard,0,4,4,5,False,True,37.2,2025-08-27T15:48:54.604250
117,puzzle117,hard,0,4,4,2,False,True,190.7,2025-08-27T15:52:06.300216
118,puzzle118,hard,2,3,4,4,True,True,23.34,2025-08-27T15:52:30.638473
119,puzzle119,hard,2,3,4,5,False,True,48.8,2025-08-27T15:53:20.437351
120,puzzle120,hard,0,3,1,1,True,True,19.8,2025-08-27T15:53:41.233733
121,puzzle121,hard,0,4,4,4,True,True,27.27,2025-08-27T15:54:09.501582
122,puzzle122,hard,2,3,9,15,False,True,205.63,2025-08-27T15:57:36.135734
123,puzzle123,hard,1,3,4,5,False,True,38.93,2025-08-27T15:58:16.066269
124,puzzle124,hard,0,4,1,1,True,True,14.45,2025-08-27T15:58:31.512600
125,puzzle125,hard,1,3,1,1,True,True,14.14,2025-08-27T15:58:46.653534
126,puzzle126,hard,0,3,4,5,False,True,36.51,2025-08-27T15:59:24.161706
127,puzzle127,hard,0,3,1,1,True,True,17.38,2025-08-27T15:59:42.543121
128,puzzle128,hard,0,3,6,12,False,True,262.83,2025-08-27T16:04:06.376760
129,puzzle129,hard,1,3,3,3,True,True,13.85,2025-08-27T16:04:21.225150
130,puzzle130,hard,0,4,7,7,True,True,70.59,2025-08-27T16:05:32.816447
131,puzzle131,hard,0,4,3,3,True,True,25.21,2025-08-27T16:05:59.024777
132,puzzle132,hard,0,4,6,6,True,True,32.27,2025-08-27T16:06:32.297625
133,puzzle133,hard,0,4,5,5,True,True,21.33,2025-08-27T16:06:54.628298
134,puzzle134,hard,2,3,6,11,False,True,71.8,2025-08-27T16:08:07.429826
135,puzzle135,hard,0,4,4,4,True,True,23.92,2025-08-27T16:08:32.352122
136,puzzle136,hard,2,3,2,2,True,True,22.51,2025-08-27T16:08:55.863356
137,puzzle137,hard,0,4,5,5,True,True,26.14,2025-08-27T16:09:22.999815
138,puzzle138,hard,0,4,6,6,True,True,37.4,2025-08-27T16:10:01.399207
139,puzzle139,hard,0,3,4,4,True,True,14.05,2025-08-27T16:10:16.452375
140,puzzle140,hard,1,3,2,2,True,True,24.29,2025-08-27T16:10:41.747033
141,puzzle141,hard,0,3,7,7,True,True,41.49,2025-08-27T16:11:24.241715
142,puzzle142,hard,0,3,6,6,True,True,28.35,2025-08-27T16:11:53.592110
143,puzzle143,hard,0,4,5,7,False,True,68.06,2025-08-27T16:13:02.651516
144,puzzle144,hard,0,4,8,13,False,True,236.47,2025-08-27T16:17:00.124836
145,puzzle145,hard,0,3,1,1,True,True,11.7,2025-08-27T16:17:12.820313
146,puzzle146,hard,2,3,5,5,True,True,52.86,2025-08-27T16:18:06.679747
147,puzzle147,hard,1,3,3,6,False,True,65.15,2025-08-27T16:19:12.834830
148,puzzle148,hard,0,4,3,3,True,True,20.91,2025-08-27T16:19:34.743303
149,puzzle149,hard,0,4,6,8,False,True,87.58,2025-08-27T16:21:03.320108
150,puzzle150,hard,2,3,6,6,True,True,22.19,2025-08-27T16:21:26.515438
