puzzle_num,puzzle_folder,difficulty,num_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,input_tokens,reasoning_tokens,output_tokens,total_tokens,has_reasoning,reasoning_length_chars,timestamp
1,puzzle1,easy,2,4,4,True,True,14.17,454,0,1357,1811,False,0,2025-08-25T14:27:26.656746
2,puzzle2,easy,2,1,1,True,True,5.67,454,0,348,802,False,0,2025-08-25T14:27:33.327150
3,puzzle3,easy,2,2,2,True,True,5.92,455,0,364,819,False,0,2025-08-25T14:27:40.247466
4,puzzle4,easy,2,3,3,True,True,13.2,455,0,1021,1476,False,0,2025-08-25T14:27:54.445292
5,puzzle5,easy,2,2,2,True,True,10.66,454,0,556,1010,False,0,2025-08-25T14:28:06.106523
6,puzzle6,easy,3,1,1,True,True,3.89,464,0,348,812,False,0,2025-08-25T14:28:10.997220
7,puzzle7,easy,3,3,4,False,True,8.78,463,0,973,1436,False,0,2025-08-25T14:28:20.774464
8,puzzle8,easy,3,3,3,True,True,14.01,464,0,1149,1613,False,0,2025-08-25T14:28:35.782865
9,puzzle9,easy,3,4,4,True,True,19.21,464,0,1357,1821,False,0,2025-08-25T14:28:55.995080
10,puzzle10,easy,3,2,2,True,True,6.23,465,0,492,957,False,0,2025-08-25T14:29:03.226238
11,puzzle11,easy,3,4,4,True,True,26.97,464,0,2509,2973,False,0,2025-08-25T14:29:31.193988
12,puzzle12,easy,2,3,3,True,True,9.98,454,0,893,1347,False,0,2025-08-25T14:29:42.172249
13,puzzle13,easy,2,2,2,True,True,9.04,454,0,492,946,False,0,2025-08-25T14:29:52.207681
14,puzzle14,easy,3,3,3,True,True,9.48,464,0,828,1292,False,0,2025-08-25T14:30:02.683573
15,puzzle15,easy,2,1,1,True,True,5.63,454,0,348,802,False,0,2025-08-25T14:30:09.309111
16,puzzle16,easy,2,3,3,True,True,11.05,454,0,829,1283,False,0,2025-08-25T14:30:21.361503
17,puzzle17,easy,3,1,1,True,True,4.87,464,0,348,812,False,0,2025-08-25T14:30:27.228057
18,puzzle18,easy,2,2,2,True,True,7.31,455,0,492,947,False,0,2025-08-25T14:30:35.541126
19,puzzle19,easy,3,2,2,True,True,5.94,463,0,684,1147,False,0,2025-08-25T14:30:42.485445
20,puzzle20,easy,3,3,3,True,True,13.87,465,0,637,1102,False,0,2025-08-25T14:30:57.352266
21,puzzle21,easy,3,2,2,True,True,7.41,463,0,685,1148,False,0,2025-08-25T14:31:05.767429
22,puzzle22,easy,3,2,2,True,True,8.84,464,0,620,1084,False,0,2025-08-25T14:31:15.611984
23,puzzle23,easy,2,1,1,True,True,6.15,455,0,476,931,False,0,2025-08-25T14:31:22.762171
24,puzzle24,easy,2,2,2,True,True,17.18,454,0,1068,1522,False,0,2025-08-25T14:31:40.946583
25,puzzle25,easy,3,2,2,True,True,13.88,464,0,557,1021,False,0,2025-08-25T14:31:55.829434
26,puzzle26,easy,2,1,1,True,True,3.83,454,0,220,674,False,0,2025-08-25T14:32:00.655671
27,puzzle27,easy,3,1,1,True,True,5.99,464,0,412,876,False,0,2025-08-25T14:32:07.649640
28,puzzle28,easy,3,3,3,True,True,12.45,464,0,829,1293,False,0,2025-08-25T14:32:21.098369
29,puzzle29,easy,2,3,3,True,True,11.49,455,0,572,1027,False,0,2025-08-25T14:32:33.588998
30,puzzle30,easy,2,3,4,False,True,24.62,454,0,2381,2835,False,0,2025-08-25T14:32:59.207393
31,puzzle31,easy,2,2,2,True,True,5.68,455,0,300,755,False,0,2025-08-25T14:33:05.887877
32,puzzle32,easy,3,2,2,True,True,8.88,464,0,492,956,False,0,2025-08-25T14:33:15.764558
33,puzzle33,easy,3,2,2,True,True,12.53,464,0,749,1213,False,0,2025-08-25T14:33:29.294037
34,puzzle34,easy,3,3,3,True,True,13.8,464,0,765,1229,False,0,2025-08-25T14:33:44.094280
35,puzzle35,easy,3,4,5,False,True,70.71,465,0,2334,2799,False,0,2025-08-25T14:34:55.805530
36,puzzle36,easy,2,3,3,True,True,9.96,455,0,957,1412,False,0,2025-08-25T14:35:06.763683
37,puzzle37,easy,3,4,4,True,True,39.24,463,0,1933,2396,False,0,2025-08-25T14:35:47.003022
38,puzzle38,easy,2,2,2,True,True,7.62,455,0,428,883,False,0,2025-08-25T14:35:55.622962
39,puzzle39,easy,2,3,3,True,True,8.23,455,0,700,1155,False,0,2025-08-25T14:36:04.855252
40,puzzle40,easy,2,1,1,True,True,4.76,455,0,284,739,False,0,2025-08-25T14:36:10.620197
41,puzzle41,easy,2,1,1,True,True,6.96,455,0,476,931,False,0,2025-08-25T14:36:18.579506
42,puzzle42,easy,3,2,2,True,True,8.44,464,0,556,1020,False,0,2025-08-25T14:36:28.016589
43,puzzle43,easy,3,5,5,True,True,21.45,465,0,1694,2159,False,0,2025-08-25T14:36:50.462508
44,puzzle44,easy,2,3,3,True,True,15.5,455,0,1469,1924,False,0,2025-08-25T14:37:06.962104
45,puzzle45,easy,3,3,3,True,True,27.21,464,0,1853,2317,False,0,2025-08-25T14:37:35.175698
46,puzzle46,easy,3,1,1,True,True,4.12,463,0,348,811,False,0,2025-08-25T14:37:40.295833
47,puzzle47,easy,3,3,3,True,True,16.31,463,0,829,1292,False,0,2025-08-25T14:37:57.602853
48,puzzle48,easy,2,3,3,True,True,19.59,455,0,1724,2179,False,0,2025-08-25T14:38:18.194127
49,puzzle49,easy,2,1,1,True,True,4.73,454,0,284,738,False,0,2025-08-25T14:38:23.925803
50,puzzle50,easy,3,2,2,True,True,11.07,463,0,428,891,False,0,2025-08-25T14:38:35.999222
51,puzzle51,medium,5,5,6,False,True,24.23,483,0,1967,2450,False,0,2025-08-25T14:39:01.232628
52,puzzle52,medium,5,2,2,True,True,11.97,483,0,621,1104,False,0,2025-08-25T14:39:14.201280
53,puzzle53,medium,5,6,6,True,True,79.2,483,0,4207,4690,False,0,2025-08-25T14:40:34.397096
54,puzzle54,medium,4,2,2,True,True,8.32,473,0,492,965,False,0,2025-08-25T14:40:43.713455
55,puzzle55,medium,4,4,5,False,True,32.41,473,0,2911,3384,False,0,2025-08-25T14:41:17.125270
56,puzzle56,medium,4,3,3,True,True,13.49,474,0,1277,1751,False,0,2025-08-25T14:41:31.613289
57,puzzle57,medium,5,1,1,True,True,7.19,483,0,412,895,False,0,2025-08-25T14:41:39.807223
58,puzzle58,medium,5,4,4,True,True,29.65,483,0,1998,2481,False,0,2025-08-25T14:42:10.453454
59,puzzle59,medium,5,4,4,True,True,26.18,483,0,1678,2161,False,0,2025-08-25T14:42:37.633734
60,puzzle60,medium,4,4,4,True,True,20.28,474,0,1678,2152,False,0,2025-08-25T14:42:58.913070
61,puzzle61,medium,4,5,5,True,True,51.98,473,0,2334,2807,False,0,2025-08-25T14:43:51.894028
62,puzzle62,medium,5,5,5,True,True,47.29,483,0,3422,3905,False,0,2025-08-25T14:44:40.180180
63,puzzle63,medium,4,4,4,True,True,59.26,474,0,2318,2792,False,0,2025-08-25T14:45:40.439599
64,puzzle64,medium,4,4,4,True,True,14.98,474,0,1165,1639,False,0,2025-08-25T14:45:56.417246
65,puzzle65,medium,5,2,2,True,True,9.0,483,0,749,1232,False,0,2025-08-25T14:46:06.415048
66,puzzle66,medium,4,4,4,True,True,20.84,473,0,1485,1958,False,0,2025-08-25T14:46:28.259373
67,puzzle67,medium,4,1,1,True,True,5.62,474,0,348,822,False,0,2025-08-25T14:46:34.881712
68,puzzle68,medium,4,1,1,True,True,4.61,473,0,348,821,False,0,2025-08-25T14:46:40.489478
69,puzzle69,medium,4,4,4,True,True,30.09,472,0,2894,3366,False,0,2025-08-25T14:47:11.582797
70,puzzle70,medium,4,4,4,True,True,36.14,474,0,1997,2471,False,0,2025-08-25T14:47:48.719117
71,puzzle71,medium,5,4,4,True,True,27.36,483,0,2574,3057,False,0,2025-08-25T14:48:17.078832
72,puzzle72,medium,4,1,1,True,True,8.11,473,0,476,949,False,0,2025-08-25T14:48:26.192322
73,puzzle73,medium,5,2,2,True,True,7.4,482,0,621,1103,False,0,2025-08-25T14:48:34.595856
74,puzzle74,medium,4,2,2,True,True,13.33,473,0,685,1158,False,0,2025-08-25T14:48:48.927576
75,puzzle75,medium,4,3,3,True,True,10.24,473,0,893,1366,False,0,2025-08-25T14:49:00.171242
76,puzzle76,medium,5,5,5,True,True,32.9,482,0,3358,3840,False,0,2025-08-25T14:49:34.072310
77,puzzle77,medium,4,1,1,True,True,7.41,473,0,412,885,False,0,2025-08-25T14:49:42.482491
78,puzzle78,medium,4,4,4,True,True,22.75,473,0,2062,2535,False,0,2025-08-25T14:50:06.232870
79,puzzle79,medium,4,2,2,True,True,8.5,473,0,556,1029,False,0,2025-08-25T14:50:15.736221
80,puzzle80,medium,4,4,4,True,True,25.19,473,0,1870,2343,False,0,2025-08-25T14:50:41.929321
81,puzzle81,medium,5,3,3,True,True,15.04,483,0,1213,1696,False,0,2025-08-25T14:50:57.969872
82,puzzle82,medium,5,1,1,True,True,4.78,483,0,412,895,False,0,2025-08-25T14:51:03.751569
83,puzzle83,medium,5,3,3,True,True,13.33,483,0,1213,1696,False,0,2025-08-25T14:51:18.078245
84,puzzle84,medium,5,2,2,True,True,8.37,483,0,685,1168,False,0,2025-08-25T14:51:27.448642
85,puzzle85,medium,5,5,7,False,True,64.74,482,0,6079,6561,False,0,2025-08-25T14:52:33.187040
86,puzzle86,medium,4,4,4,True,True,35.45,474,0,1677,2151,False,0,2025-08-25T14:53:09.642190
87,puzzle87,medium,4,2,2,True,True,11.7,473,0,749,1222,False,0,2025-08-25T14:53:22.340748
88,puzzle88,medium,5,1,1,True,True,5.85,483,0,348,831,False,0,2025-08-25T14:53:29.191448
89,puzzle89,medium,5,4,4,True,True,26.24,483,0,2126,2609,False,0,2025-08-25T14:53:56.432958
90,puzzle90,medium,4,3,3,True,True,10.78,472,0,957,1429,False,0,2025-08-25T14:54:08.216822
91,puzzle91,medium,5,1,1,True,True,5.96,484,0,348,832,False,0,2025-08-25T14:54:15.179112
92,puzzle92,medium,4,1,1,True,True,5.43,474,0,412,886,False,0,2025-08-25T14:54:21.612839
93,puzzle93,medium,4,1,1,True,True,5.03,473,0,348,821,False,0,2025-08-25T14:54:27.638403
94,puzzle94,medium,4,3,3,True,True,20.88,473,0,894,1367,False,0,2025-08-25T14:54:49.518863
95,puzzle95,medium,4,2,2,True,True,8.65,474,0,556,1030,False,0,2025-08-25T14:54:59.171842
96,puzzle96,medium,5,3,3,True,True,23.39,483,0,1213,1696,False,0,2025-08-25T14:55:23.562031
97,puzzle97,medium,5,1,1,True,True,7.47,484,0,412,896,False,0,2025-08-25T14:55:32.036400
98,puzzle98,medium,4,2,2,True,True,10.02,473,0,685,1158,False,0,2025-08-25T14:55:43.053762
99,puzzle99,medium,4,3,3,True,True,18.03,474,0,1021,1495,False,0,2025-08-25T14:56:02.088681
100,puzzle100,medium,4,2,2,True,True,9.6,473,0,685,1158,False,0,2025-08-25T14:56:12.687398
101,puzzle101,hard,7,10,10,True,True,118.73,502,0,10483,10985,False,0,2025-08-25T14:58:12.415302
102,puzzle102,hard,7,6,6,True,True,34.22,502,0,2928,3430,False,0,2025-08-25T14:58:47.640273
103,puzzle103,hard,7,3,3,True,True,31.18,502,0,2302,2804,False,0,2025-08-25T14:59:19.816602
104,puzzle104,hard,6,8,8,True,True,194.16,492,0,11409,11901,False,0,2025-08-25T15:02:34.973237
105,puzzle105,hard,6,3,3,True,True,67.61,492,0,4606,5098,False,0,2025-08-25T15:03:43.582183
106,puzzle106,hard,6,3,3,True,True,15.11,493,0,1213,1706,False,0,2025-08-25T15:03:59.692225
107,puzzle107,hard,7,4,4,True,True,36.65,502,0,3086,3588,False,0,2025-08-25T15:04:37.341884
108,puzzle108,hard,6,7,8,False,True,265.36,493,0,17233,17726,False,0,2025-08-25T15:09:03.700871
109,puzzle109,hard,7,8,10,False,True,47.45,503,0,4467,4970,False,0,2025-08-25T15:09:52.153072
110,puzzle110,hard,6,4,5,False,True,36.28,492,0,2975,3467,False,0,2025-08-25T15:10:29.430567
111,puzzle111,hard,7,4,4,True,True,37.52,502,0,2638,3140,False,0,2025-08-25T15:11:07.947740
112,puzzle112,hard,7,1,1,True,True,6.43,503,0,348,851,False,0,2025-08-25T15:11:15.375756
113,puzzle113,hard,6,5,5,True,True,44.47,493,0,3039,3532,False,0,2025-08-25T15:12:00.849474
114,puzzle114,hard,7,1,1,True,True,7.67,503,0,348,851,False,0,2025-08-25T15:12:09.522447
115,puzzle115,hard,7,10,10,True,True,46.03,502,0,6643,7145,False,0,2025-08-25T15:12:56.552282
116,puzzle116,hard,7,4,4,True,True,11.36,502,0,1231,1733,False,0,2025-08-25T15:13:08.908277
117,puzzle117,hard,7,6,6,True,True,220.45,502,0,10992,11494,False,0,2025-08-25T15:16:50.355001
118,puzzle118,hard,6,5,5,True,True,24.22,492,0,2335,2827,False,0,2025-08-25T15:17:15.578794
119,puzzle119,hard,6,2,2,True,True,7.05,493,0,621,1114,False,0,2025-08-25T15:17:23.633215
120,puzzle120,hard,7,4,4,True,True,21.73,503,0,1742,2245,False,0,2025-08-25T15:17:46.366632
121,puzzle121,hard,6,7,7,True,True,99.37,492,0,5632,6124,False,0,2025-08-25T15:19:26.743404
122,puzzle122,hard,7,5,5,True,True,27.65,502,0,1951,2453,False,0,2025-08-25T15:19:55.390337
123,puzzle123,hard,6,5,7,False,True,56.0,493,0,4993,5486,False,0,2025-08-25T15:20:52.393881
124,puzzle124,hard,7,3,3,True,True,16.02,502,0,1342,1844,False,0,2025-08-25T15:21:09.411162
125,puzzle125,hard,7,6,6,True,True,49.84,502,0,5360,5862,False,0,2025-08-25T15:22:00.256535
126,puzzle126,hard,6,3,3,True,True,14.21,493,0,1150,1643,False,0,2025-08-25T15:22:15.469673
127,puzzle127,hard,7,3,0,False,False,13.53,502,0,638,1140,False,0,2025-08-25T15:22:30.000140
128,puzzle128,hard,6,6,8,False,True,160.71,493,0,7569,8062,False,0,2025-08-25T15:25:11.710194
129,puzzle129,hard,7,9,9,True,True,90.7,502,0,6882,7384,False,0,2025-08-25T15:26:43.415014
130,puzzle130,hard,7,7,7,True,True,82.36,502,0,4544,5046,False,0,2025-08-25T15:28:06.778350
131,puzzle131,hard,6,8,8,True,True,210.49,492,0,14289,14781,False,0,2025-08-25T15:31:38.271696
132,puzzle132,hard,7,5,7,False,True,51.01,503,0,4353,4856,False,0,2025-08-25T15:32:30.280236
133,puzzle133,hard,7,2,2,True,True,14.2,502,0,685,1187,False,0,2025-08-25T15:32:45.476328
134,puzzle134,hard,7,7,7,True,True,70.71,502,0,6081,6583,False,0,2025-08-25T15:33:57.183246
135,puzzle135,hard,6,2,2,True,True,11.89,493,0,557,1050,False,0,2025-08-25T15:34:10.074064
136,puzzle136,hard,7,4,4,True,True,25.52,502,0,1359,1861,False,0,2025-08-25T15:34:36.594425
137,puzzle137,hard,6,3,3,True,True,20.66,493,0,1213,1706,False,0,2025-08-25T15:34:58.252090
138,puzzle138,hard,7,5,5,True,True,18.25,502,0,1567,2069,False,0,2025-08-25T15:35:17.499947
139,puzzle139,hard,7,4,4,True,True,32.83,502,0,1870,2372,False,0,2025-08-25T15:35:51.335324
140,puzzle140,hard,7,3,3,True,True,14.14,502,0,1150,1652,False,0,2025-08-25T15:36:06.472357
141,puzzle141,hard,7,6,6,True,True,88.4,503,0,4336,4839,False,0,2025-08-25T15:37:35.883006
142,puzzle142,hard,6,1,1,True,True,6.8,494,0,348,842,False,0,2025-08-25T15:37:43.679697
143,puzzle143,hard,6,2,2,True,True,9.8,492,0,813,1305,False,0,2025-08-25T15:37:54.475481
144,puzzle144,hard,6,3,3,True,True,20.87,492,0,1662,2154,False,0,2025-08-25T15:38:16.350089
145,puzzle145,hard,7,1,1,True,True,6.09,503,0,348,851,False,0,2025-08-25T15:38:23.440614
146,puzzle146,hard,7,4,4,True,True,15.76,502,0,911,1413,False,0,2025-08-25T15:38:40.204485
147,puzzle147,hard,7,3,3,True,True,27.27,502,0,1342,1844,False,0,2025-08-25T15:39:08.476660
148,puzzle148,hard,7,4,4,True,True,22.6,502,0,911,1413,False,0,2025-08-25T15:39:32.078990
149,puzzle149,hard,6,3,3,True,True,10.34,493,0,765,1258,False,0,2025-08-25T15:39:43.417933
150,puzzle150,hard,6,4,4,True,True,25.59,492,0,1038,1530,False,0,2025-08-25T15:40:10.011822
