puzzle_num,puzzle_folder,difficulty,num_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,timestamp
1,puzzle1,easy,2,4,5,False,True,3.57,2025-08-21T09:04:01.329261
2,puzzle2,easy,2,1,6,False,True,3.19,2025-08-21T09:04:04.521994
3,puzzle3,easy,2,2,3,False,True,1.72,2025-08-21T09:04:06.241675
4,puzzle4,easy,2,3,4,False,True,2.21,2025-08-21T09:04:08.448640
5,puzzle5,easy,2,2,3,False,True,1.71,2025-08-21T09:04:10.162873
6,puzzle6,easy,3,1,6,False,True,3.19,2025-08-21T09:04:13.353416
7,puzzle7,easy,3,3,5,False,True,2.7,2025-08-21T09:04:16.049623
8,puzzle8,easy,3,3,4,False,True,2.22,2025-08-21T09:04:18.266228
9,puzzle9,easy,3,4,6,False,True,3.19,2025-08-21T09:04:21.460464
10,puzzle10,easy,3,2,8,False,True,4.17,2025-08-21T09:04:25.627369
11,puzzle11,easy,3,4,5,False,True,2.68,2025-08-21T09:04:28.308721
12,puzzle12,easy,2,3,3,True,True,1.71,2025-08-21T09:04:30.021427
13,puzzle13,easy,2,2,8,False,True,4.16,2025-08-21T09:04:34.183092
14,puzzle14,easy,3,3,6,False,True,3.23,2025-08-21T09:04:37.410411
15,puzzle15,easy,2,1,6,False,True,3.2,2025-08-21T09:04:40.612798
16,puzzle16,easy,2,3,3,True,True,1.71,2025-08-21T09:04:42.325070
17,puzzle17,easy,3,1,2,False,True,1.24,2025-08-21T09:04:43.570304
18,puzzle18,easy,2,2,3,False,True,1.71,2025-08-21T09:04:45.285839
19,puzzle19,easy,3,2,9,False,True,4.67,2025-08-21T09:04:49.954295
20,puzzle20,easy,3,3,3,True,True,1.72,2025-08-21T09:04:51.672219
21,puzzle21,easy,3,2,7,False,True,3.66,2025-08-21T09:04:55.337208
22,puzzle22,easy,3,2,8,False,True,4.19,2025-08-21T09:04:59.525054
23,puzzle23,easy,2,1,2,False,True,1.25,2025-08-21T09:05:00.773011
24,puzzle24,easy,2,2,8,False,True,4.17,2025-08-21T09:05:04.938626
25,puzzle25,easy,3,2,6,False,True,3.2,2025-08-21T09:05:08.134865
26,puzzle26,easy,2,1,6,False,True,3.18,2025-08-21T09:05:11.318369
27,puzzle27,easy,3,1,7,False,True,3.69,2025-08-21T09:05:15.006964
28,puzzle28,easy,3,3,3,True,True,1.72,2025-08-21T09:05:16.724186
29,puzzle29,easy,2,3,5,False,True,2.7,2025-08-21T09:05:19.425004
30,puzzle30,easy,2,3,5,False,True,2.69,2025-08-21T09:05:22.114520
31,puzzle31,easy,2,2,3,False,True,1.71,2025-08-21T09:05:23.828578
32,puzzle32,easy,3,2,6,False,True,3.16,2025-08-21T09:05:26.988204
33,puzzle33,easy,3,2,6,False,True,3.19,2025-08-21T09:05:30.178454
34,puzzle34,easy,3,3,3,True,True,1.72,2025-08-21T09:05:31.904019
35,puzzle35,easy,3,4,9,False,True,4.64,2025-08-21T09:05:36.543329
36,puzzle36,easy,2,3,3,True,True,1.72,2025-08-21T09:05:38.266546
37,puzzle37,easy,3,4,5,False,True,2.69,2025-08-21T09:05:40.959205
38,puzzle38,easy,2,2,5,False,True,2.7,2025-08-21T09:05:43.661007
39,puzzle39,easy,2,3,6,False,True,3.2,2025-08-21T09:05:46.866023
40,puzzle40,easy,2,1,6,False,True,3.19,2025-08-21T09:05:50.059142
41,puzzle41,easy,2,1,2,False,True,1.25,2025-08-21T09:05:51.308859
42,puzzle42,easy,3,2,8,False,True,4.17,2025-08-21T09:05:55.481545
43,puzzle43,easy,3,5,7,False,True,3.72,2025-08-21T09:05:59.204252
44,puzzle44,easy,2,3,4,False,True,2.23,2025-08-21T09:06:01.433672
45,puzzle45,easy,3,3,4,False,True,2.23,2025-08-21T09:06:03.661605
46,puzzle46,easy,3,1,10,False,True,5.19,2025-08-21T09:06:08.850018
47,puzzle47,easy,3,3,3,True,True,1.73,2025-08-21T09:06:10.582315
48,puzzle48,easy,2,3,5,False,True,2.69,2025-08-21T09:06:13.274764
49,puzzle49,easy,2,1,6,False,True,3.2,2025-08-21T09:06:16.470722
50,puzzle50,easy,3,2,3,False,True,1.72,2025-08-21T09:06:18.189631
51,puzzle51,medium,5,5,12,False,True,6.23,2025-08-21T09:06:24.423010
52,puzzle52,medium,5,2,2,True,True,1.25,2025-08-21T09:06:25.669175
53,puzzle53,medium,5,6,6,True,True,3.2,2025-08-21T09:06:28.870221
54,puzzle54,medium,4,2,10,False,True,5.24,2025-08-21T09:06:34.107537
55,puzzle55,medium,4,4,4,True,True,2.23,2025-08-21T09:06:36.340442
56,puzzle56,medium,4,3,10,False,True,5.24,2025-08-21T09:06:41.581445
57,puzzle57,medium,5,1,2,False,True,1.26,2025-08-21T09:06:42.837119
58,puzzle58,medium,5,4,12,False,True,6.25,2025-08-21T09:06:49.091460
59,puzzle59,medium,5,4,9,False,True,4.71,2025-08-21T09:06:53.806039
60,puzzle60,medium,4,4,3,False,True,1.73,2025-08-21T09:06:55.539844
61,puzzle61,medium,4,5,5,True,True,2.71,2025-08-21T09:06:58.253486
62,puzzle62,medium,5,5,5,True,True,2.71,2025-08-21T09:07:00.967835
63,puzzle63,medium,4,4,8,False,True,4.2,2025-08-21T09:07:05.172618
64,puzzle64,medium,4,4,5,False,True,2.71,2025-08-21T09:07:07.887556
65,puzzle65,medium,5,2,6,False,True,3.22,2025-08-21T09:07:11.106609
66,puzzle66,medium,4,4,7,False,True,3.72,2025-08-21T09:07:14.828523
67,puzzle67,medium,4,1,8,False,True,4.23,2025-08-21T09:07:19.062910
68,puzzle68,medium,4,1,6,False,True,3.22,2025-08-21T09:07:22.285731
69,puzzle69,medium,4,4,8,False,True,4.21,2025-08-21T09:07:26.492470
70,puzzle70,medium,4,4,4,True,True,2.26,2025-08-21T09:07:28.756267
71,puzzle71,medium,5,4,5,False,True,2.76,2025-08-21T09:07:31.513613
72,puzzle72,medium,4,1,7,False,True,3.7,2025-08-21T09:07:35.211848
73,puzzle73,medium,5,2,12,False,True,6.29,2025-08-21T09:07:41.500128
74,puzzle74,medium,4,2,7,False,True,3.74,2025-08-21T09:07:45.239537
75,puzzle75,medium,4,3,3,True,True,1.73,2025-08-21T09:07:46.973481
76,puzzle76,medium,5,5,5,True,True,2.71,2025-08-21T09:07:49.685953
77,puzzle77,medium,4,1,6,False,True,3.22,2025-08-21T09:07:52.905817
78,puzzle78,medium,4,4,10,False,True,5.25,2025-08-21T09:07:58.159772
79,puzzle79,medium,4,2,9,False,True,4.7,2025-08-21T09:08:02.860660
80,puzzle80,medium,4,4,9,False,True,4.71,2025-08-21T09:08:07.568894
81,puzzle81,medium,5,3,9,False,True,4.71,2025-08-21T09:08:12.284079
82,puzzle82,medium,5,1,6,False,True,3.25,2025-08-21T09:08:15.534087
83,puzzle83,medium,5,3,6,False,True,3.22,2025-08-21T09:08:18.753989
84,puzzle84,medium,5,2,3,False,True,1.76,2025-08-21T09:08:20.514946
85,puzzle85,medium,5,5,9,False,True,4.72,2025-08-21T09:08:25.232696
86,puzzle86,medium,4,4,6,False,True,3.2,2025-08-21T09:08:28.436395
87,puzzle87,medium,4,2,8,False,True,4.21,2025-08-21T09:08:32.642171
88,puzzle88,medium,5,1,2,False,True,3.14,2025-08-21T09:08:35.782034
89,puzzle89,medium,5,4,3,False,True,1.73,2025-08-21T09:08:37.509263
90,puzzle90,medium,4,3,3,True,True,1.73,2025-08-21T09:08:39.236106
91,puzzle91,medium,5,1,7,False,True,3.7,2025-08-21T09:08:42.938829
92,puzzle92,medium,4,1,2,False,True,1.25,2025-08-21T09:08:44.185987
93,puzzle93,medium,4,1,4,False,True,2.25,2025-08-21T09:08:46.438594
94,puzzle94,medium,4,3,10,False,True,5.19,2025-08-21T09:08:51.630852
95,puzzle95,medium,4,2,10,False,True,5.23,2025-08-21T09:08:56.865219
96,puzzle96,medium,5,3,4,False,True,2.22,2025-08-21T09:08:59.087550
97,puzzle97,medium,5,1,8,False,True,4.2,2025-08-21T09:09:03.291467
98,puzzle98,medium,4,2,2,True,True,1.26,2025-08-21T09:09:04.547011
99,puzzle99,medium,4,3,6,False,True,3.26,2025-08-21T09:09:07.803274
100,puzzle100,medium,4,2,2,True,True,1.25,2025-08-21T09:09:09.050242
101,puzzle101,hard,7,10,5,False,True,2.7,2025-08-21T09:09:11.750007
102,puzzle102,hard,7,6,10,False,True,5.22,2025-08-21T09:09:16.967870
103,puzzle103,hard,7,3,6,False,True,3.23,2025-08-21T09:09:20.197165
104,puzzle104,hard,6,8,5,False,True,2.69,2025-08-21T09:09:22.891659
105,puzzle105,hard,6,3,8,False,True,4.22,2025-08-21T09:09:27.107240
106,puzzle106,hard,6,3,9,False,True,4.68,2025-08-21T09:09:31.789544
107,puzzle107,hard,7,4,6,False,True,3.2,2025-08-21T09:09:34.988515
108,puzzle108,hard,6,7,5,False,True,2.69,2025-08-21T09:09:37.682865
109,puzzle109,hard,7,8,7,False,True,3.67,2025-08-21T09:09:41.353090
110,puzzle110,hard,6,4,7,False,True,3.68,2025-08-21T09:09:45.033440
111,puzzle111,hard,7,4,8,False,True,4.2,2025-08-21T09:09:49.235091
112,puzzle112,hard,7,1,3,False,True,1.75,2025-08-21T09:09:50.986060
113,puzzle113,hard,6,5,3,False,True,1.72,2025-08-21T09:09:52.705485
114,puzzle114,hard,7,1,2,False,True,1.25,2025-08-21T09:09:53.954843
115,puzzle115,hard,7,10,5,False,True,2.7,2025-08-21T09:09:56.659096
116,puzzle116,hard,7,4,2,False,True,1.25,2025-08-21T09:09:57.911486
117,puzzle117,hard,7,6,8,False,True,4.2,2025-08-21T09:10:02.109592
118,puzzle118,hard,6,5,3,False,True,1.72,2025-08-21T09:10:03.831055
119,puzzle119,hard,6,2,2,True,True,1.24,2025-08-21T09:10:05.076241
120,puzzle120,hard,7,4,6,False,True,3.19,2025-08-21T09:10:08.270900
121,puzzle121,hard,6,7,7,True,True,3.68,2025-08-21T09:10:11.949423
122,puzzle122,hard,7,5,7,False,True,3.7,2025-08-21T09:10:15.649605
123,puzzle123,hard,6,5,12,False,True,6.33,2025-08-21T09:10:21.980042
124,puzzle124,hard,7,3,2,False,True,1.26,2025-08-21T09:10:23.241138
125,puzzle125,hard,7,6,7,False,True,3.68,2025-08-21T09:10:26.920298
126,puzzle126,hard,6,3,2,False,True,1.25,2025-08-21T09:10:28.171619
127,puzzle127,hard,7,3,8,False,True,4.2,2025-08-21T09:10:32.372515
128,puzzle128,hard,6,6,5,False,True,2.7,2025-08-21T09:10:35.068265
129,puzzle129,hard,7,9,5,False,True,2.71,2025-08-21T09:10:37.774515
130,puzzle130,hard,7,7,5,False,True,2.7,2025-08-21T09:10:40.476643
131,puzzle131,hard,6,8,5,False,True,2.69,2025-08-21T09:10:43.174410
132,puzzle132,hard,7,5,7,False,True,3.67,2025-08-21T09:10:46.844570
133,puzzle133,hard,7,2,3,False,True,1.75,2025-08-21T09:10:48.596486
134,puzzle134,hard,7,7,3,False,True,1.74,2025-08-21T09:10:50.335267
135,puzzle135,hard,6,2,3,False,True,1.75,2025-08-21T09:10:52.089995
136,puzzle136,hard,7,4,3,False,True,1.76,2025-08-21T09:10:53.846224
137,puzzle137,hard,6,3,3,True,True,1.72,2025-08-21T09:10:55.571081
138,puzzle138,hard,7,5,14,False,True,7.31,2025-08-21T09:11:02.882584
139,puzzle139,hard,7,4,7,False,True,3.68,2025-08-21T09:11:06.558553
140,puzzle140,hard,7,3,2,False,True,1.25,2025-08-21T09:11:07.805840
141,puzzle141,hard,7,6,6,True,True,3.23,2025-08-21T09:11:11.041447
142,puzzle142,hard,6,1,7,False,True,3.73,2025-08-21T09:11:14.773299
143,puzzle143,hard,6,2,6,False,True,3.21,2025-08-21T09:11:17.984279
144,puzzle144,hard,6,3,7,False,True,3.7,2025-08-21T09:11:21.680910
145,puzzle145,hard,7,1,8,False,True,4.2,2025-08-21T09:11:25.882998
146,puzzle146,hard,7,4,10,False,True,5.2,2025-08-21T09:11:31.080417
147,puzzle147,hard,7,3,2,False,True,1.25,2025-08-21T09:11:32.333436
148,puzzle148,hard,7,4,2,False,True,1.25,2025-08-21T09:11:33.589383
149,puzzle149,hard,6,3,8,False,True,4.19,2025-08-21T09:11:37.776976
150,puzzle150,hard,6,4,7,False,True,3.68,2025-08-21T09:11:41.456368
